                        Apartment De Genestetstraat 13 II                            ,            2612 RL Delft (Koepoort)        ,"                €1,200 per month            ",68 m²,3 rooms,Upholstered
title,location,price,area,room,furniture
                        Apartment Martinus Nijhofflaan                            ,            2624 ES Delft (Poptahof-Zuid)        ,                €930 per month            ,42 m²,1 room,Upholstered
                        Apartment Arthur van Schendelplein 81                            ,            2624 CS Delft (Voorhof-Hoogbouw)        ,"                €1,095 per month            ",94 m²,4 rooms,
                        Apartment W.H. van Leeuwenlaan 90                            ,            2613 ZG Delft (Agnetaparkbuurt)        ,"                €1,350 per month            ",65 m²,3 rooms,Upholstered
                        Apartment Westerstraat                            ,            2613 RD Delft (Westerkwartier)        ,"                €1,195 per month            ",56 m²,2 rooms,Furnished
                        Apartment Markt 44 a                            ,            2611 GV Delft (Centrum)        ,"                €1,100 per month            ",45 m²,2 rooms,Upholstered
                        Apartment Botaniestraat 22 II                            ,            2628 ED Delft (TU-Noord)        ,"                €1,150 per month            ",60 m²,2 rooms,Upholstered
                        Apartment Warmoezierstraat                            ,            2613 VG Delft (Olofsbuurt)        ,"                €1,700 per month            ",60 m²,3 rooms,Upholstered or furnished
                        Apartment Van Speykstraat                            ,            2628 RG Delft (Zeeheldenbuurt)        ,"                €1,500 per month            ",65 m²,3 rooms,Furnished
                        Apartment Oude Delft 37 A2                            ,            2611 BB Delft (Centrum-Zuidwest)        ,"                €1,600 per month            ",65 m²,2 rooms,Furnished
                        Apartment Oude Delft                            ,            2611 CD Delft (Centrum)        ,"                €1,195 per month            ",64 m²,2 rooms,Upholstered
                        Apartment Warmoezierstraat                            ,            2613 VH Delft (Olofsbuurt)        ,"                €1,050 per month            ",40 m²,2 rooms,Upholstered
                        Apartment Plein Delftzicht 1 W                            ,            2627 CA Delft (Delftzicht)        ,"                €2,950 per month            ",162 m²,5 rooms,
                        Apartment Kromstraat                            ,            2611 EP Delft (Centrum)        ,"                €1,850 per month            ",72 m²,4 rooms,Shell
                        Apartment Palmyraplaats                            ,            2624 NN Delft (Poptahof-Zuid)        ,"                €1,695 per month            ",105 m²,5 rooms,Upholstered or furnished
                        Apartment Roland Holstlaan 968                            ,            2624 JM Delft (Roland Holstbuurt)        ,"                €1,350 per month            ",96 m²,4 rooms,Upholstered
                        Studio Asvest                            ,            2611 PK Delft (Centrum-Zuidwest)        ,"                €1,900 per month            ",41 m²,1 room,Furnished
                        Apartment Burgwal 25                            ,            2611 GE Delft (Centrum)        ,                €950 per month            ,28 m²,1 room,Furnished
